patent_abstract,patent_title
"Tasks such as object classification from image data can take advantage of a deep learning process using convolutional neural networks. These networks can include a convolutional layer followed by an activation layer, or activation unit, among other potential layers. Improved accuracy can be obtained by using a generalized linear unit (GLU) as an activation unit in such a network, where a GLU is linear for both positive and negative inputs, and is defined by a positive slope, a negative slope, and a bias. These parameters can be learned for each channel or a block of channels, and stacking those types of activation units can further improve accuracy.",Activation layers for deep learning networks
"Tasks such as object classification from image data can take advantage of a deep learning process using convolutional neural networks. These networks can include a convolutional layer followed by an activation layer, or activation unit, among other potential layers. Improved accuracy can be obtained by using a generalized linear unit (GLU) as an activation unit in such a network, where a GLU is linear for both positive and negative inputs, and is defined by a positive slope, a negative slope, and a bias. These parameters can be learned for each channel or a block of channels, and stacking those types of activation units can further improve accuracy.",Activation layers for deep learning networks
"A method and a system for reducing the acoustic levels of internal and external sound fields generated by gas turbine engines has several actuators to generate sound, several sensors to measure the acoustic levels, and one or more controllers, The controllers are adaptive self-learning neural networks that control the actuators to generate sound in order to effect the reduction of the internal and external sound field as measured by the Sensors.",Active gas turbine (jet) engine noise suppression
"The present invention is predicated upon the fact that an emission trace from a plasma glow used in fabricating integrated circuits contains information about phenoma which cause variations in the fabrication process such as age of the plasma reactor, densities of the wafers exposed to the plasma, chemistry of the plasma, and concentration of the remaining material. In accordance with the present invention, a method for using neural networks to determine plasma etch end-point times in an integrated circuit fabrication process is disclosed. The end-point time is based on in-situ monitoring of the optical emission trace. The back-propagation method is used to train the network. More generally, a neural network can be used to regulate control variables and materials in a manufacturing process to yield an output product with desired quality attributes. An identified process signature which reflects the relation between the quality attribute and the process may be used to train the neural network.",Active neural network control of wafer attributes in a plasma etch process
"The present invention is predicated upon the fact that an emission trace from a plasma glow used in fabricating integrated circuits contains information about phenoma which cause variations in the fabrication process such as age of the plasma reactor, densities of the wafers exposed to the plasma, chemistry of the plasma, and concentration of the remaining material. In accordance with the present invention, a method for using neural networks to determine plasma etch end-point times in an integrated circuit fabrication process is disclosed. The end-point time is based on in-situ monitoring of the optical emission trace. The back-propagation method is used to train the network. More generally, a neural network can be used to regulate control variables and materials in a manufacturing process to yield an output product with desired quality attributes. An identified process signature which reflects the relation between the quality attribute and the process may be used to train the neural network.",Active neural network control of wafer attributes in a plasma etch process
"The present invention is predicated upon the fact that a process signature from a plasma process used in fabricating integrated circuits contains information about phenomena which cause variations in the fabrication process such as age of the plasma reactor, densities of the wafers exposed to the plasma, chemistry of the plasma, and concentration of the remaining material. In accordance with the present invention, a method for using neural networks to determine plasma etch end-point times in an integrated circuit fabrication process is disclosed. The end-point time is based on in-situ monitoring of at least two parameters during the plasma etch process. After the neural network is trained to associate a certain condition or set of conditions with the endpoint of the process, the neural network is used to control the process.",Active neural network determination of endpoint in a plasma etch process
"Systems and methods are provided for facilitating automated video scripting, Video frames may be analyzed to determine scores indicative of the association between a characteristic of the video frame and an attribute of a theme associated with a particular person. Then, video frames with particular scores can be added together to automatically create a video script. Neural networks can be used to determine the scores. The neural network may also be trained using training data, and updated based on the interaction of a person to a video script.",Adaptive and automatic video scripting
"An improved motor vehicle automatic climate control methodology individually develops climate control commands in response to ambient environmental conditions and a transient state estimator, and individually and adaptively adjusts the commands to improve driver comfort in response to driver override of respective automatic control settings. The adaptive adjustment of the climate control commands is carried by CMAC neural networks that take into account the environmental conditions and the dynamic state of the system when the respective overrides occur so as to minimize or eliminate the environmental state ambiguity and steady-state/transient coupling that occur in currently known control methodologies.",Adaptive automatic climate control method for a motor vehicle
"An adaptive control system (ACS) uses direct output feedback to control a plant. The ACS uses direct adaptive output feedback control developed for highly uncertain nonlinear systems, that does not rely on state estimation. The approach is also applicable to systems of unknown, but bounded dimension, whose output has known, but otherwise arbitrary relative degree. This includes systems with both parameter uncertainty and unmodeled dynamics. The result is achieved by extending the universal function approximation property of linearly parameterized neural networks to model unknown system dynamics from input/output data. The network weight adaptation rule is derived from Lyapunov stability analysis, and guarantees that the adapted weight errors and the tracking error are bounded.",Adaptive control system having direct output feedback and related apparatuses and methods
"An adaptive control system (ACS) uses direct output feedback to control a plant. The ACS uses direct adaptive output feedback control developed for highly uncertain nonlinear systems, that does not rely on state estimation. The approach is also applicable to systems of unknown, but bounded dimension, whose output has known, but otherwise arbitrary relative degree. This includes systems with both parameter uncertainty and unmodeled dynamics. The result is achieved by extending the universal function approximation property of linearly parameterized neural networks to model unknown system dynamics from input/output data. The network weight adaptation rule is derived from Lyapunov stability analysis, and guarantees that the adapted weight errors and the tracking error are bounded.",Adaptive control system having direct output feedback and related apparatuses and methods
"A job scheduler makes decisions concerning the order and frequency of access to a resource according to a substantially optimum delay cost function. The delay cost function is a single value function of one or more inputs, where at least one of the inputs is a delay time which increases as a job waits for service. The job scheduler is preferably used by a multi-user computer operating system to schedule jobs of different classes. The delay cost functions are preferably implemented by neural networks. The user specifies desired performance objectives for each job class. The computer system runs for a specified period of time, collecting data on system performance. The differences between the actual and desired performance objectives are computed, and used to adaptively train the neural network. The process repeats until the delay cost functions stabilize near optimum value. However, if the system configuration, workload, or desired performance objectives change, the neural network will again start to adapt.",Adaptive job scheduling using neural network priority functions
"A control system for controlling the output of at least one plant process output parameter is implemented by adaptive model predictive control using a neural network. An improved method and apparatus provides for sampling plant output and control input at a first sampling rate to provide control inputs at the fast rate. The MPC system is, however, provided with a network state vector that is constructed at a second, slower rate so that the input control values used by the MPC system are averaged over a gapped time period. Another improvement is a provision for on-line training that may include difference training, curvature training, and basis center adjustment to maintain the weights and basis centers of the neural in an updated state that can follow changes in the plant operation apart from initial off-line training data.",Adaptive model predictive process control using neural networks
"Neural networks may be used in certain automatic speech recognition systems. To improve performance of these neural networks, they may be updated/retrained during run time by training the neural network based on the output of a speech recognition system or based on the output of the neural networks themselves. The outputs may include weighted outputs, lattices, weighted N-best lists, or the like. The neural networks may be acoustic model neural networks or language model neural networks. The neural networks may be retrained after each pass through the network, after each utterance, or in varying time scales.",Adaptive neural network speech recognition models
"An adaptive plasma characterization system and method characterize a semiconductor plasma process using fuzzy logic and neural networks. The method includes the step of collecting input and output training data, where the input training data is based on variables associated with electrical power used to control a plasma chamber and results from execution of the plasma process. The method further includes the step of generating fuzzy logic-based input and output membership functions based on the training data. The membership functions enable estimation of an output parameter value of the plasma process, such that the membership functions characterize the plasma process with regard to the output parameter. Modifying the membership functions based on a neural network learning algorithm and output data provides ability to learn. Thus, etching process parameters such as etch rate, end point detection, and chamber maintenance can all be characterized in a manner that allows the system to operate autonomously.",Adaptive plasma characterization system
"An adaptive probabilistic computer-controlled method and system determines computer-controlled actions that are expected to reduce uncertainties that are embodied as probabilities and then updates the probabilities in accordance with the results of the computer-controlled actions. The updated probabilities inform the determination of subsequent computer-controlled actions. Expected values of information may also be applied in determining the subsequent computer-controlled actions. The computer-controlled actions may comprise analysis of content and generating recommendations that are delivered to users, and inferences from the analysis of content and usage behaviors may inform the updating of the probabilities. Statistical learning functions and/or neural networks may be applied in determining the computer-controlled actions.",Adaptive probabilistic computer-controlled method and system
"In a system comprising a plurality of resources for performing useful work, a resource allocation controller function, which is customized to the particular system's available resources and configuration, dynamically allocates resources and/or alters configuration to accommodate a changing workload. Preferably, the resource allocation controller is part of the computer's operating system which allocates resources of the computer system. The resource allocation controller uses a controller neural network for control, and a separate system model neural network for modelling the system and training the controller neural network. Performance data is collected by the system and used to train the system model neural network. A system administrator specifies computer system performance targets which indicate the desired performance of the system. Deviations in actual performance from desired performance are propagated back through the system model and ultimately to the controller neural network to create a closed loop system for resource allocation.",Adaptive resource allocation using neural networks
"In a system comprising a plurality of resources for performing useful work, a resource allocation controller function, which is customized to the particular system's available resources and configuration, dynamically allocates resources and/or alters configuration to accommodate a changing workload. Preferably, the resource allocation controller is part of the computer's operating system which allocates resources of the computer system. The resource allocation controller uses a controller neural network for control, and a separate system model neural network for modelling the system and training the controller neural network. Performance data is collected by the system and used to train the system model neural network. A system administrator specifies computer system performance targets which indicate the desired performance of the system. Deviations in actual performance from desired performance are propagated back through the system model and ultimately to the controller neural network to create a closed loop system for resource allocation.",Adaptive resource allocation using neural networks
""" A data string is a sequence of atomic units of data that represent information. In the context of computer data, examples of data strings include executable programs, data files, and boot records consisting of sequences of bytes, or text files consisting of sequences of bytes or characters. The invention solves the problem of automatically constructing a classifier of data strings, i.e., constructing a classifier which, given a string, determines which of two or more class labels should be assigned to it. From a set of (string, class-label) pairs, this invention provides an automated technique for extracting features of data strings that are relevant to the classification decision, and an automated technique for developing a classifier which uses those features to classify correctly the data strings in the original examples and, with high accuracy, classify correctly novel data strings not contained in the example set. The classifier is developed using """"adaptive"""" or """"learning"""" techniques from the domain of statistical regression and classification, such as, e.g., multi-layer neural networks. As an example, the technique can be applied to the task of distinguishing files or boot records that are infected by computer viruses from files or boot records that are not infected. ""","Adaptive statistical regression and classification of data strings, with application to the generic detection of computer viruses"
"An adaptive vector quantization process and quantizer (VQ) using a clustering technique known as AFLC (adaptive fuzzy leader clustering) is disclosed. The quantizer, AFLC-VQ, has been designed to vector quantize wavelet decomposed sub images with optimal bit allocation. The high-resolution sub images at each level have been statistically analyzed to conform to generalized Gaussian probability distributions by selecting the optimal number of filter taps. The adaptive characteristics of AFLC-VQ stem from using self-organizing neural networks with fuzzy membership values of the input samples for upgrading the cluster centroids based on well known optimization criteria. The centroid of each pattern group can represent all the other patterns in that cluster. The entire data set can be indexed into look up tables sent to the user for decoding and viewing the image. By generating look up tables or codebooks and entropy coding of the quantizer output, AFLC-VQ can compress images at 100:1 or greater for transmitting while reconstructing the images with high fidelity.",Adaptive vector quantization/quantizer
"A method includes determining, by a processor of a computing device, an expected performance or reliability of a first neural network of a first plurality of neural networks. The expected performance or reliability is determined based on a vector representing at least a portion of the first neural network, where the first neural network is generated based on an automated generative technique (e.g., a genetic algorithm) and where the first plurality of neural networks corresponds to a first epoch of the automated generative technique. The method also includes responsive to the expected performance or reliability of the first neural network failing to satisfy a threshold, adjusting a parameter of the automated generative technique. The method further includes, during a second epoch of the automated generative technique, generating a second plurality of neural networks based at least in part on the adjusted parameter.",Adjusting automated neural network generation based on evaluation of candidate neural networks
"A method of accelerating the training of an artificial neural network uses a computer configured as an artificial neural network with a network input and a network output, and having a plurality of interconnected units arranged in layers including an input layer and an output layer. Each unit has a multiplicity of unit inputs and a set of variables for operating upon a unit inputs to provide a unit output. The computer is programmed with a back propagation algorithm. A plurality of examples are serially provided to the network input and the network output is observed. The examples are iterated and proposed changes to each set of variables are calculated in response to feedback representing differences betwen the network output for each example and the desired output. The proposed changes are accumulated for a predetermined number of iterations, whereupon the accumulated proposed changes are added to the set of variables.",Adjusting neural networks
"A system and method are provided for driving assistance. The system includes an image capture device configured to capture an actual image relative to an outward view from a motor vehicle and depicting an object. The system further includes a processor configured to render, based on a set of 3D CAD models, synthetic images with corresponding intermediate shape concept labels. The processor is further configured to form a multi-layer CNN which jointly models multiple intermediate shape concepts, based on the rendered synthetic images. The processor is also configured to perform an intra-class appearance variation-aware and occlusion-aware 3D object parsing on the actual image by applying the CNN to the actual image to output an image pair including a 2D and 3D geometric structure of the object. The processor is additionally configured to perform an action to mitigate a likelihood of harm involving the motor vehicle, based on the image pair.",Advanced driver-assistance system with landmark localization on objects in images using convolutional neural networks
"A Hybrid Optoelectronic Neural Object Recognition System (HONORS), is disclosed, comprising two major building blocks: (1) an advanced grayscale optical correlator (OC) and (2) a massively parallel three-dimensional neural-processor. The optical correlator, with its inherent advantages in parallel processing and shift invariance, is used for target of interest (TOI) detection and segmentation. The three-dimensional neural-processor, with its robust neural learning capability, is used for target classification and identification. The hybrid optoelectronic neural object recognition system, with its powerful combination of optical processing and neural networks, enables real-time, large frame, automatic target recognition (ATR).",Advanced miniature processing handware for ATR applications
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for adversarial training of a neural network. One of the methods includes obtaining a plurality of training inputs; and training the neural network on each of the training inputs, comprising, for each of the training inputs: processing the training input using the neural network to determine a neural network output for the training input; applying a perturbation to the training input to generate an adversarial perturbation of the training input; processing the adversarial perturbation of the training input using the neural network to determine a neural network output for the adversarial perturbation; and adjusting the current values of the parameters of the neural network by performing an iteration of a neural network training procedure to optimize an adversarial objective function.",Adversarial training of neural networks
"In certain aspects, the disclosure provides soluble heteromeric polypeptide complexes comprising an extracellular domain of an ALK4 receptor and an extracellular domain of ActRIIB. In certain aspects, such soluble ALK4:ActRIIB complexes may be used to regulate (promote or inhibit) growth of tissues or cells including, for example, muscle, bone, cartilage, fat, neural tissue, tumors, and/or cancerous cells. In certain aspects, such ALK4:ActRIIB complexes are can be used to improve muscle formation, bone formation, metabolic parameters, and disorders associated with these tissues, cellular networks, kidney, and endocrine systems.",ALK4:ActRIIB heteromultimers and uses thereof
"A neuron circuit and a neural network including a four quadrant analog multiplier/summer circuit constructed in field effect transistors. The neuron circuit includes the analog multiplier/summer formed of an operational amplifier, plural sets of four field effect transistors, an RC circuit and a double inverter. The multiplier/summer circuit includes a set of four identical field effect transistors for each product implemented. This produces a four quadrant multiplication if the four field effect transistors operate in the triode mode. The output of the multiplier/summer is the sum of these products. The neural network includes a plurality of these neuron circuits. Each neuron circuit receives an input and a set of synaptic weight inputs. The output of each neuron circuit is supplied to the corresponding feedback input of each neuron circuit. The multiplier/summer of each neuron circuit produces the sum of the product of each neuron circuit output and its corresponding synaptic weight. The individual neuron circuits and the neural network can be constructed in MOS VLSI.",Analog continuous-time MOS vector multiplier circuit and a programmable MOS realization for feedback neural networks
"This is a fully parallel analog backpropagation learning processor which comprises a plurality of programmable resistive memory elements serving as synapse connections whose values can be weighted during learning with buffer amplifiers, summing circuits, and sample-and-hold circuits arranged in a plurality of neuron layers in accordance with delta-backpropagation algorithms modified so as to control weight changes due to circuit drift.",Analog hardware for delta-backpropagation neural networks
"This is a recurrent or feedforward analog neural network processor having a multi-level neuron array and a synaptic matrix for storing weighted analog values of synaptic connection strengths which is characterized by temporarily changing one connection strength at a time to determine its effect on system output relative to the desired target. That connection strength is then adjusted based on the effect, whereby the processor is taught the correct response to training examples connection by connection.",Analog hardware for learning neural networks
"An analog neural computing medium, neuron and neural networks are disclosed. The neural computing medium includes a phase change material that has the ability to cumulatively respond to multiple input signals. Input signals induce transformations among a plurality of accumulation states of the disclosed neural computing medium. The accumulation states are characterized by a high electrical resistance. Upon cumulative receipt of energy from one or more input signals that equals or exceeds a threshold value, the neural computing medium fires by transforming to a low resistance state. The disclosed neural computing medium may also be configured to perform a weighting function whereby it weights incoming signals. The disclosed neurons may also include activation units for further transforming signals transmitted by the accumulation units according to a mathematical operation. The artificial neurons, weighting units, accumulation units and activation units may be connected to form artificial neural networks.",Analog neurons and neurosynaptic networks
A system for converting an analog signal into a digital data stream includes a recurrent network with a plurality of converter circuits that individually receive the same analog signal as input. The circuits then generate a plurality of spike outputs that exhibit characteristics of the analog signal. Interconnecting feedback loops from each circuit output to the input of neighboring circuits queues the plurality of spike outputs to thereby self-organize the network. A digital clock is then used to establish predetermined time intervals for counting the spike outputs to create the digital data stream.,Analog to digital conversion using recurrent neural networks
"A four quadrant, analog multiplier circuit useful for MOS implementation of feedback/feedforward neural networks. The multiplier circuit uses only one op-amp and one pair of input MOS FETs. It becomes a multiplier/summer by the addition of only one additional pair of input FETs for each additional product to be summed and achieves the vector scalar product of 2 n-tuple vector inputs using only 2(n+1) MOS transistors.","Analog, continuous time vector scalar multiplier circuits and programmable feedback neural network using them"
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for using recurrent neural networks to analyze health events. One of the methods includes: processing each of a plurality of initial temporal sequences of health events to generate, for each of the initial temporal sequences, a respective network internal state of a recurrent neural network for each time step in the initial temporal sequence; storing, for each of the initial temporal sequences, one or more of the network internal states for the time steps in the temporal sequence in a repository; obtaining a first temporal sequence; processing the first temporal sequence using the recurrent neural network to generate a sequence internal state for the first temporal sequence; and selecting one or more initial temporal sequences that are likely to include health events that are predictive of future health events in the first temporal sequence.",Analyzing health events using recurrent neural networks
"An articulated and animated toy capable of recognizing human users and selected inanimate objects and interacting therewith which includes a computer-based device having stored thereon encoded first human or human-like facial images, a video camera and video digitizer for acquiring data representative of a second human or human-like facial image, and software resident within said computer-based device for facial recognition, which includes Principal Component Analysis, Neural Networks, or another equivalent algorithm for comparing said first human or human-like facial images with said second human or human-like facial image and producing an output signal therefrom for use in identifying said human users. The apparatus can further include software for recognizing speech, generating speech and controlling animation of the articulated toy. In addition, said computer-based device is capable of learning and storing information pertaining to each of said human users such as name, age, sex, favorite color, etc., and to interact with each of said human users on an individual basis, providing entertainment tailored specifically to each of said human users.",Animated toy utilizing artificial intelligence and facial image recognition
"An articulated and animated toy capable of recognizing human users and interacting therewith which includes a computer-based device having stored thereon encoded first human fingerprint data, a fingerprint sensor for acquiring data representative of a second human fingerprint, and software resident within said computer-based device for fingerprint verification, which includes minutiae analysis, neural networks, or another equivalent algorithm for comparing said first human fingerprint data with said second human fingerprint data and producing an output signal therefrom for use in identifying said human users. The apparatus can further include software for recognizing speech, generating speech and controlling animation of the articulated toy. In addition, said computer-based device is capable of learning and storing information pertaining to each of said human users such as name, age, sex, favorite color, etc., and to interact with each of said human users on an individual basis, providing entertainment tailored specifically to each of said human users. In addition, the apparatus can control access to the Internet via integrated web browser software and thus provide protection, especially for young children, from inappropriate web site content.",Animated toy utilizing artificial intelligence and fingerprint verification
"Systems and methods for training a neural network to optimize network performance, including sampling an applied dropout rate for one or more nodes of the network to evaluate a current generalization performance of one or more training models. An optimized annealing schedule may be generated based on the sampling, wherein the optimized annealing schedule includes an altered dropout rate configured to improve a generalization performance of the network. A number of nodes of the network may be adjusted in accordance with a dropout rate specified in the optimized annealing schedule. The steps may then be iterated until the generalization performance of the network is maximized.",Annealed dropout training of neural networks
"Systems and methods for training a neural network to optimize network performance, including sampling an applied dropout rate for one or more nodes of the network to evaluate a current generalization performance of one or more training models. An optimized annealing schedule may be generated based on the sampling, wherein the optimized annealing schedule includes an altered dropout rate configured to improve a generalization performance of the network. A number of nodes of the network may be adjusted in accordance with a dropout rate specified in the optimized annealing schedule. The steps may then be iterated until the generalization performance of the network is maximized.",Annealed dropout training of neural networks
A method for annotation of skin images includes receiving a plurality of dermatoscopic images. Each of the dermatoscopic includes a region of lesion skin and a region of normal skin. A first convolutional neural network is trained according to an interior of the region of lesion skin using each of the plurality of dermatoscopic images. A second convolutional neural network is trained according to a boundary between the region of lesion skin and the region of normal skin. An additional dermatoscopic image is acquired. The first and second convolutional neural networks are used to identify a region of lesion skin within the acquired additional dermatoscopic image.,Annotation of skin image using learned feature representation
"Computer-implemented methods and apparatuses for anomaly detection in volumetric images are provided. A two-dimensional convolutional neural network (CNN) is used to encode slices within a volumetric image, such as a CT scan. The CNN may be trained using an output layer that is subsequently omitted during use of the CNN as an encoder. The CNN encoder output is applied to a recurrent neural network (RNN), such as a long short-term memory network. The RNN may output various indications of the presence, probability and/or location of anomalies within the volumetric image.",Anomaly detection in volumetric images using sequential convolutional and recurrent neural networks
"Computer-implemented methods and apparatuses for anomaly detection in volumetric images are provided. A two-dimensional convolutional neural network (CNN) is used to encode slices within a volumetric image, such as a CT scan. The CNN may be trained using an output layer that is subsequently omitted during use of the CNN as an encoder. The CNN encoder output is applied to a recurrent neural network (RNN), such as a long short-term memory network. The RNN may output various indications of the presence, probability and/or location of anomalies within the volumetric image.",Anomaly detection in volumetric medical images using sequential convolutional and recurrent neural networks
"An anomaly monitoring device includes two neural networks which are switchable between a training mode by using training samples and a checking mode for classifying, based on a training result, whether an amount of characteristics obtained by an operation of an apparatus indicates that the operation of an apparatus is normal and a mode switching unit controlling one of the neural networks to operate in training mode and the other neural network to operate in the checking mode. Further, the anomaly monitoring device includes a switching determining unit computing a judgment evaluation value serving to evaluate reliability of a judgment result of the other neural network operating in the checking mode, and for instructing the mode switching unit to have the one of the neural networks operate in the checking mode and the other neural network operate in training mode when the judgment evaluation value does not meet evaluation criteria.",Anomaly monitoring device using two competitive neural networks
"The present invention provides an apparatus and a method for classifying and recognizing image patterns using a second-order neural network, thereby achieving high-rate parallel processing while lowering the complexity. The second-order neural network, which is made of adders and multipliers, corrects positional translations generated in a complex-log mapping unit to output the same result for the same object irrespective of the scale and/or rotation of the object. The present invention enables high-rate image pattern classification and recognition based on parallel processing, which is the advantage obtained in neural network models, because consistent neural networks and consistent network structure computation models are applied to all steps from the image input step to the pattern classifying and recognizing step.",Apparatus and method for classifying and recognizing image patterns using neural network
